Title,Description,Source
President Joseph R. Biden  Jr. Approves Florida Disaster Declaration,Today  President Joseph R. Biden  Jr. declared that a major disaster exists in the State of Florida and ordered Federal aid to supplement State  tribal ,https://www.whitehouse.gov/briefing-room/presidential-actions/2023/08/31/president-joseph-r-biden-jr-approves-florida-disaster-declaration-4/ 
President Biden approves Disaster Declaration for Florida areas impacted by Idalia,On Thursday  President Joe Biden approved a Disaster Declaration for areas impacted by Hurricane Idalia. Idalia hit Florida's Big Bend area as a strong,https://www.wesh.com/article/president-biden-disaster-declaration-idalia/44961944 
Biden approves disaster declaration,TALLAHASSEE —,https://www.mysuncoast.com/2023/08/31/biden-approves-disaster-declaration/ 
Why Biden is now routinely taking the short stairs up to Air Force One,President Biden boards Air Force One at Peterson Air Force Base in Colorado Springs  Colo. on June 1  2023  after attending the 2023 United States Air Force,https://www.npr.org/2023/08/31/1196803354/biden-air-force-one-short-stairs 
Remarks by President Biden on the Whole-of-Government ...,Remarks by President Biden on the Whole-of-Government Response and Recovery Efforts in Maui  Hawaii  and the Ongoing Response to Hurricane Idalia.6 小時前,https://www.whitehouse.gov/briefing-room/speeches-remarks/2023/08/31/remarks-by-president-biden-on-the-whole-of-government-response-and-recovery-efforts-in-maui-hawaii-and-the-ongoing-response-to-hurricane-idalia/ 
FACT SHEET: Biden-Harris Administration Takes Another Life ...,In March  President Biden signed an Executive Order directing the Attorney General to move as close to universal background checks as possible within,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/fact-sheet-biden-harris-administration-takes-another-life-saving-step-to-keep-guns-out-of-dangerous-hands/ 
FACT SHEET: On Int’l Overdose Awareness Day  the Biden-Harris ...,Today  on International Overdose Awareness Day  the Biden-Harris administration is recognizing all those who have lost someone to an overdose. President Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/fact-sheet-on-intl-overdose-awareness-day-the-biden-harris-administration-announces-more-than-450-million-in-new-funding-to-support-president-bidens-unity-agenda-efforts-to-beat-t/ 
Statement from President Joe Biden on Funding for Fair Electric ...,Statement from President Joe Biden on Funding for Fair Electric Vehicle Conversion Funding ,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/31/statement-from-president-joe-biden-on-funding-for-fair-electric-vehicle-conversion-funding/ 
Biden says he has no concerns about McConnell’s health after speaking to him,President Biden said he is not concerned about Senate Minority Leader Mitch McConnell's (R-Ky.) ability to serve  one day after McConnell froze up during a,https://thehill.com/homenews/administration/4181511-biden-says-he-has-no-concerns-about-mcconnells-health-after-speaking-to-him/ 
Analysis | Biden loves to retell certain stories. Some aren't credible.,Biden had a tangential role in the civil rights movement — The Fact Checker determined that he participated in one walkout at a restaurant and picketed a,https://www.washingtonpost.com/politics/2023/08/31/biden-loves-retell-certain-stories-some-arent-credible/ 
Biden does not plan to meet Chinese counterpart Xi at G20,WASHINGTON — President Joe Biden does not plan to formally meet his Chinese counterpart Xi Jinping on the sidelines of the Group of 20 summit in India ,https://news.yahoo.com/biden-does-not-plan-meet-183644755.html 
Biden reveals a RAISE for federal workers: White House gives government staff a pay bump of 5.2% - as pressure,Biden reveals a RAISE for federal workers: White House gives government staff a pay bump of 5.2% - as pressure grows on more to return to the office. By Emily,https://www.dailymail.co.uk/news/article-12467663/Biden-reveals-RAISE-federal-workers-government-staff-pay-bump-5-2.html 
Xi Might Skip G-20 Summit. Biden Says He 'Hopes' Otherwise,US President Joe Biden said he hoped Xi Jinping will attend next week's G-20 summit in New Delhi  amid reports the Chinese leader would likely skip the,https://www.bloomberg.com/news/articles/2023-08-31/biden-says-he-hopes-xi-attends-g-20-despite-signals-otherwise 
Head of GOP’s Biden probe  Rep. James Comer flirts with higher office,James Comer  leading the GOP Biden probe  insists he's 'bipartisan' as he ,https://www.nbcnews.com/politics/congress/james-comer-hunter-joe-biden-investigation-senate-governor-rcna102212 
Analysis | Biden loves to retell certain stories. Some aren't credible.,Biden had a tangential role in the civil rights movement — The Fact Checker determined that he participated in one walkout at a restaurant and picketed a,https://www.washingtonpost.com/politics/2023/08/31/biden-loves-retell-certain-stories-some-arent-credible/ 
Book Review: ‘The Last Politician ’ by Franklin Foer,Joe Biden's First Term and the 'West Wing' Fantasy of American Politics. In “The Last Politician ” Franklin Foer presents the first half of Biden's presidency,https://www.nytimes.com/2023/08/31/books/review/the-last-politician-franklin-foer.html 
Statement from President Biden on the Second Anniversary of ...,Statement from President Biden on the Second Anniversary of Ending the Afghanistan War ,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/30/statement-by-president-biden-on-the-second-anniversary-of-ending-the-afghanistan-war/ 
First Lady Jill Biden visits in Madison,(WMTV) - First Lady,https://www.nbc15.com/2023/08/31/first-lady-jill-biden-make-stop-madison/ 
Why Biden Can't Expedite Work Permits for Migrants,Here are the reasons the Biden administration can't make changes quickly. The delay is enshrined in law. In 1996  Congress stipulated that asylum seekers had to,https://www.nytimes.com/2023/08/31/us/politics/new-york-asylum-work-permits-migrants.html 
Disney Entertainment TV Names Ex-Biden Adviser Remi Yamamoto VP Media Relations,Most recently special assistant to President Biden and senior advisor for the office of the chief of staff at the White House  Yamamoto will be responsible for,https://variety.com/2023/tv/news/disney-tv-biden-adviser-remi-yamamoto-vp-media-relations-1235709659/ 
Biden does not plan to meet Chinese counterpart Xi at G20,WASHINGTON — President Joe Biden does not plan to formally meet his Chinese counterpart Xi Jinping on the sidelines of the Group of 20 summit in India ,https://news.yahoo.com/biden-does-not-plan-meet-183644755.html 
Biden reveals a RAISE for federal workers: White House gives government staff a pay bump of 5.2% - as pressure,Biden reveals a RAISE for federal workers: White House gives government staff a pay bump of 5.2% - as pressure grows on more to return to the office. By Emily,https://www.dailymail.co.uk/news/article-12467663/Biden-reveals-RAISE-federal-workers-government-staff-pay-bump-5-2.html 
Xi Might Skip G-20 Summit. Biden Says He 'Hopes' Otherwise,US President Joe Biden said he hoped Xi Jinping will attend next week's G-20 summit in New Delhi  amid reports the Chinese leader would likely skip the,https://www.bloomberg.com/news/articles/2023-08-31/biden-says-he-hopes-xi-attends-g-20-despite-signals-otherwise 
Head of GOP’s Biden probe  Rep. James Comer flirts with higher office,James Comer  leading the GOP Biden probe  insists he's 'bipartisan' as he ,https://www.nbcnews.com/politics/congress/james-comer-hunter-joe-biden-investigation-senate-governor-rcna102212 
Analysis | Biden loves to retell certain stories. Some aren't credible.,Biden had a tangential role in the civil rights movement — The Fact Checker determined that he participated in one walkout at a restaurant and picketed a,https://www.washingtonpost.com/politics/2023/08/31/biden-loves-retell-certain-stories-some-arent-credible/ 
Book Review: ‘The Last Politician ’ by Franklin Foer,Joe Biden's First Term and the 'West Wing' Fantasy of American Politics. In “The Last Politician ” Franklin Foer presents the first half of Biden's presidency,https://www.nytimes.com/2023/08/31/books/review/the-last-politician-franklin-foer.html 
Statement from President Biden on the Second Anniversary of ...,Statement from President Biden on the Second Anniversary of Ending the Afghanistan War ,https://www.whitehouse.gov/briefing-room/statements-releases/2023/08/30/statement-by-president-biden-on-the-second-anniversary-of-ending-the-afghanistan-war/ 
First Lady Jill Biden visits in Madison,(WMTV) - First Lady,https://www.nbc15.com/2023/08/31/first-lady-jill-biden-make-stop-madison/ 
Why Biden Can't Expedite Work Permits for Migrants,Here are the reasons the Biden administration can't make changes quickly. The delay is enshrined in law. In 1996  Congress stipulated that asylum seekers had to,https://www.nytimes.com/2023/08/31/us/politics/new-york-asylum-work-permits-migrants.html 
